Product_ID,Product_Name,Product_Price_INR,Step_1_Issue_Identification,Step_2_Timeframe_Check,Step_3A_Return_Path,Step_3B_Warranty_Path,Step_4A_Condition_Check,Step_4B_Warranty_Claim,Step_5A_Return_Approved,Step_5B_Return_Rejected,Step_6_Replacement_Check,Step_7A_Replacement_Success,Step_7B_Refund_Process,Step_8_Final_Resolution,Escalation_Path,Legal_Framework
PROD-00001,Nova X10,30795,Customer reports issue with product,Is issue reported within 7 days of delivery? (MEDIUM-HIGH VALUE: ₹20K-50K),YES → Proceed to return condition verification,NO → Check if within 12 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; IME...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Standard processing: ₹30,795)","YES → Send replacement, case closed","NO → Initiate refund of ₹30,795: Refund only if replacement unavailable or 3 attemp...","Refund amount: ₹30,795 via: Original payment method within 7-14 business days...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00002,Aero S5,15860,Customer reports issue with product,Is issue reported within 7 days of delivery? (MEDIUM VALUE: ₹5K-20K),YES → Proceed to return condition verification,NO → Check if within 12 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; IME...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Value: ₹15,860)","YES → Send replacement, case closed","NO → Initiate refund of ₹15,860: Refund only if replacement unavailable or 3 attemp...","Refund amount: ₹15,860 via: Original payment method within 7-14 business days...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00003,Zenith One,69886,Customer reports issue with product,Is issue reported within 7 days of delivery? (HIGH VALUE: ₹50K+),YES → Proceed to return condition verification,NO → Check if within 12 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; IME...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Priority processing for HIGH VALUE: ₹69,886)","YES → Send replacement, case closed","NO → Initiate refund of ₹69,886: Refund only if replacement unavailable or 3 attemp...","Refund amount: ₹69,886 via: Original payment method within 7-14 business days...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00004,Lumina Z,21265,Customer reports issue with product,Is issue reported within 7 days of delivery? (MEDIUM-HIGH VALUE: ₹20K-50K),YES → Proceed to return condition verification,NO → Check if within 12 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; IME...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Standard processing: ₹21,265)","YES → Send replacement, case closed","NO → Initiate refund of ₹21,265: Refund only if replacement unavailable or 3 attemp...","Refund amount: ₹21,265 via: Original payment method within 7-14 business days...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00005,Blaze Neo,52194,Customer reports issue with product,Is issue reported within 7 days of delivery? (HIGH VALUE: ₹50K+),YES → Proceed to return condition verification,NO → Check if within 12 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; IME...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Priority processing for HIGH VALUE: ₹52,194)","YES → Send replacement, case closed","NO → Initiate refund of ₹52,194: Refund only if replacement unavailable or 3 attemp...","Refund amount: ₹52,194 via: Original payment method within 7-14 business days...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00006,EchoPods 300,15423,Customer reports issue with product,Is issue reported within 7 days of delivery? (MEDIUM VALUE: ₹5K-20K),YES → Proceed to return condition verification,NO → Check if within 6 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; Unu...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Value: ₹15,423)","YES → Send replacement, case closed","NO → Initiate refund of ₹15,423: Full refund to original payment method...","Refund amount: ₹15,423 via: Original payment method within 7-10 business days...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00007,VibeTrack Smartband,12363,Customer reports issue with product,Is issue reported within 7 days of delivery? (MEDIUM VALUE: ₹5K-20K),YES → Proceed to return condition verification,NO → Check if within 12 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; Unu...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Value: ₹12,363)","YES → Send replacement, case closed","NO → Initiate refund of ₹12,363: Full refund to original payment method...","Refund amount: ₹12,363 via: Original payment method within 7-10 business days...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00008,Chrono Edge,17023,Customer reports issue with product,Is issue reported within 7 days of delivery? (MEDIUM VALUE: ₹5K-20K),YES → Proceed to return condition verification,NO → Check if within 12 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; Unu...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Value: ₹17,023)","YES → Send replacement, case closed","NO → Initiate refund of ₹17,023: Full refund to original payment method...","Refund amount: ₹17,023 via: Original payment method within 7-10 business days...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00009,SonicBeats Pro,9322,Customer reports issue with product,Is issue reported within 7 days of delivery? (MEDIUM VALUE: ₹5K-20K),YES → Proceed to return condition verification,NO → Check if within 12 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; Unu...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Value: ₹9,322)","YES → Send replacement, case closed","NO → Initiate refund of ₹9,322: Full refund to original payment method...","Refund amount: ₹9,322 via: Original payment method within 7-10 business days...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00010,FitPulse Band,2685,Customer reports issue with product,Is issue reported within 7 days of delivery? (STANDARD VALUE: <₹5K),YES → Proceed to return condition verification,NO → Check if within 6 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; Unu...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Value: ₹2,685)","YES → Send replacement, case closed","NO → Initiate refund of ₹2,685: Full refund to original payment method...","Refund amount: ₹2,685 via: Original payment method within 7-10 business days...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00011,SkyTab 11,1769,Customer reports issue with product,Is issue reported within 7 days of delivery? (STANDARD VALUE: <₹5K),YES → Proceed to return condition verification,NO → Check if within 12 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; IME...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Value: ₹1,769)","YES → Send replacement, case closed","NO → Initiate refund of ₹1,769: Refund only if replacement unavailable or 3 attemp...","Refund amount: ₹1,769 via: Original payment method within 7-14 business days...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00012,AlphaBook 14,3433,Customer reports issue with product,Is issue reported within 7 days of delivery? (STANDARD VALUE: <₹5K),YES → Proceed to return condition verification,NO → Check if within 12 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; IME...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Value: ₹3,433)","YES → Send replacement, case closed","NO → Initiate refund of ₹3,433: Refund only if replacement unavailable or 3 attemp...","Refund amount: ₹3,433 via: Original payment method within 7-14 business days...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00013,CloudTab Mini,6311,Customer reports issue with product,Is issue reported within 7 days of delivery? (MEDIUM VALUE: ₹5K-20K),YES → Proceed to return condition verification,NO → Check if within 12 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; IME...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Value: ₹6,311)","YES → Send replacement, case closed","NO → Initiate refund of ₹6,311: Refund only if replacement unavailable or 3 attemp...","Refund amount: ₹6,311 via: Original payment method within 7-14 business days...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00014,QuickMix 500,19568,Customer reports issue with product,Is issue reported within 7 days of delivery? (MEDIUM VALUE: ₹5K-20K),YES → Proceed to return condition verification,NO → Check if within 24 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; Unu...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Value: ₹19,568)","YES → Send replacement, case closed","NO → Initiate refund of ₹19,568: Full refund to original payment method...","Refund amount: ₹19,568 via: Original payment method within 7-10 business days...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00015,HeatCup Express,21769,Customer reports issue with product,Is issue reported within 7 days of delivery? (MEDIUM-HIGH VALUE: ₹20K-50K),YES → Proceed to return condition verification,NO → Check if within 12 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; Unu...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Standard processing: ₹21,769)","YES → Send replacement, case closed","NO → Initiate refund of ₹21,769: Full refund to original payment method...","Refund amount: ₹21,769 via: Original payment method within 7-10 business days...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00016,AirChef Fryo,30693,Customer reports issue with product,Is issue reported within 7 days of delivery? (MEDIUM-HIGH VALUE: ₹20K-50K),YES → Proceed to return condition verification,NO → Check if within 24 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; Unu...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Standard processing: ₹30,693)","YES → Send replacement, case closed","NO → Initiate refund of ₹30,693: Full refund to original payment method...","Refund amount: ₹30,693 via: Original payment method within 7-10 business days...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00017,SwiftClean 360,8396,Customer reports issue with product,Is issue reported within 7 days of delivery? (MEDIUM VALUE: ₹5K-20K),YES → Proceed to return condition verification,NO → Check if within 12 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; Unu...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Value: ₹8,396)","YES → Send replacement, case closed","NO → Initiate refund of ₹8,396: Full refund to original payment method...","Refund amount: ₹8,396 via: Original payment method within 7-10 business days...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00018,GlowMist Serum,3404,Customer reports issue with product,Is issue reported within 7 days of delivery? (STANDARD VALUE: <₹5K),YES → Proceed to return condition verification,NO → Check if within 0 month warranty period,Return conditions met: Non-returnable item - No return conditions apply...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Value: ₹3,404)","YES → Send replacement, case closed","NO → Initiate refund of ₹3,404: No refund - Non-returnable item...","Refund amount: ₹3,404 via: None...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00019,TrimPro X2,974,Customer reports issue with product,Is issue reported within 7 days of delivery? (STANDARD VALUE: <₹5K),YES → Proceed to return condition verification,NO → Check if within 12 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; Unu...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable",Is replacement possible within 15 days? (Value: ₹974),"YES → Send replacement, case closed",NO → Initiate refund of ₹974: Full refund to original payment method...,Refund amount: ₹974 via: Original payment method within 7-10 business days...,If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00020,SilkWave Dryer,1582,Customer reports issue with product,Is issue reported within 7 days of delivery? (STANDARD VALUE: <₹5K),YES → Proceed to return condition verification,NO → Check if within 12 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; Unu...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Value: ₹1,582)","YES → Send replacement, case closed","NO → Initiate refund of ₹1,582: Full refund to original payment method...","Refund amount: ₹1,582 via: Original payment method within 7-10 business days...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00021,PureSkin Cleanse,3058,Customer reports issue with product,Is issue reported within 7 days of delivery? (STANDARD VALUE: <₹5K),YES → Proceed to return condition verification,NO → Check if within 0 month warranty period,Return conditions met: Non-returnable item - No return conditions apply...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Value: ₹3,058)","YES → Send replacement, case closed","NO → Initiate refund of ₹3,058: No refund - Non-returnable item...","Refund amount: ₹3,058 via: None...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00022,The Infinity Path,2247,Customer reports issue with product,Is issue reported within 7 days of delivery? (STANDARD VALUE: <₹5K),YES → Proceed to return condition verification,NO → Check if within 0 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; Uno...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Value: ₹2,247)","YES → Send replacement, case closed","NO → Initiate refund of ₹2,247: Full refund to original payment method...","Refund amount: ₹2,247 via: Original payment method within 7-10 business days...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00023,MindCraft,2947,Customer reports issue with product,Is issue reported within 7 days of delivery? (STANDARD VALUE: <₹5K),YES → Proceed to return condition verification,NO → Check if within 0 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; Uno...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Value: ₹2,947)","YES → Send replacement, case closed","NO → Initiate refund of ₹2,947: Full refund to original payment method...","Refund amount: ₹2,947 via: Original payment method within 7-10 business days...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
PROD-00024,Little Learners,1175,Customer reports issue with product,Is issue reported within 7 days of delivery? (STANDARD VALUE: <₹5K),YES → Proceed to return condition verification,NO → Check if within 0 month warranty period,Return conditions met: Original packaging; All accessories/components included; No physical damage; Uno...?,YES → Direct to service center for warranty claim,"YES → Return approved, initiate replacement process","NO → Return rejected, warranty claim if applicable","Is replacement possible within 15 days? (Value: ₹1,175)","YES → Send replacement, case closed","NO → Initiate refund of ₹1,175: Exchange only - No monetary refund...","Refund amount: ₹1,175 via: Product exchange within same category...",If customer unsatisfied → Consumer forum under CPA 2019,"Consumer Protection Act 2019, E-commerce Rules 2020, BIS Standards (where applicable)"
